N,input_state,basis,time,herald,singles_ch2,coinc_ch2,singles_ch4,coinc_ch4,singles_ch6,coinc_ch6,singles_ch8,coinc_ch8,singles_ch10,coinc_ch10,singles_ch7,coinc_ch7,int_time
3,0,,2026-07-28T21:11:30.273165,107019,5886,2361,5886,1065,5886,97,5886,1,5886,2,9600,5,1.028505899987067
3,0,,2026-07-28T21:11:31.301505,106879,6028,2424,6028,1109,6028,93,6028,1,6028,1,9573,1,1.0280076999915764
3,0,,2026-07-28T21:11:32.328093,107343,5916,2427,5916,1080,5916,83,5916,2,5916,3,9652,0,1.0262899000081234
3,0,,2026-07-28T21:11:33.355175,107274,5925,2375,5925,1124,5925,85,5925,4,5925,1,9696,4,1.0269489000056637
3,0,,2026-07-28T21:11:34.383489,106396,5955,2396,5955,1112,5955,89,5955,5,5955,1,9546,3,1.0280935000046156
3,0,,2026-07-28T21:11:35.410790,107313,5960,2409,5960,1129,5960,90,5960,5,5960,2,9741,2,1.0270160999934888
3,0,,2026-07-28T21:11:36.438461,107446,5930,2441,5930,1107,5930,98,5930,3,5930,4,9809,6,1.027414600001066
3,0,,2026-07-28T21:11:37.467382,107329,5960,2502,5960,1130,5960,88,5960,3,5960,3,9687,4,1.0286526999989292
3,0,,2026-07-28T21:11:38.498109,107202,5919,2427,5919,1084,5919,86,5919,2,5919,2,9619,7,1.0303353999915998
3,0,,2026-07-28T21:11:39.527012,107731,5904,2392,5904,1109,5904,84,5904,2,5904,4,9706,5,1.0285938000015449
3,0,,2026-07-28T21:11:40.554872,107226,6009,2477,6009,1093,6009,85,6009,2,6009,1,9638,7,1.0274582999991253
3,0,,2026-07-28T21:11:41.584722,106823,6064,2442,6064,1135,6064,78,6064,3,6064,2,9526,5,1.0295266000030097
3,0,,2026-07-28T21:11:42.612775,107100,5928,2397,5928,1117,5928,80,5928,3,5928,1,9676,4,1.0276671000028728
3,0,,2026-07-28T21:11:43.641575,107293,5955,2481,5955,1092,5955,91,5955,1,5955,3,9687,3,1.028483200003393
3,0,,2026-07-28T21:11:44.669862,107284,5927,2491,5927,1062,5927,93,5927,3,5927,0,9583,4,1.0279238000075566
3,0,,2026-07-28T21:11:45.698894,107120,6123,2466,6123,1142,6123,85,6123,4,6123,4,9570,1,1.0286827000090852
3,0,,2026-07-28T21:11:46.727884,107292,5966,2510,5966,1076,5966,79,5966,2,5966,2,9594,4,1.0285765000007814
3,0,,2026-07-28T21:11:47.754987,108017,6099,2401,6099,1138,6099,95,6099,5,6099,8,9741,4,1.026734099999885
3,0,,2026-07-28T21:11:48.784211,107597,5977,2453,5977,1070,5977,76,5977,2,5977,2,9700,3,1.0289426000090316
3,0,,2026-07-28T21:11:49.813173,107337,5815,2350,5815,1127,5815,74,5815,0,5815,1,9660,1,1.0286255999963032
3,0,,2026-07-28T21:11:50.841613,107022,5969,2505,5969,1119,5969,53,5969,7,5969,1,9566,9,1.028064699989045
3,0,,2026-07-28T21:11:51.870182,107739,5822,2397,5822,1061,5822,84,5822,3,5822,5,9655,5,1.0281681999913417
3,0,,2026-07-28T21:11:52.897351,107094,5929,2448,5929,1148,5929,77,5929,2,5929,1,9617,5,1.02678410000226
3,0,,2026-07-28T21:11:53.925440,107083,5963,2460,5963,1081,5963,82,5963,1,5963,2,9718,2,1.027835500004585
3,0,,2026-07-28T21:11:54.952878,107422,6018,2392,6018,1155,6018,85,6018,1,6018,2,9903,6,1.0270940000045812
3,0,,2026-07-28T21:11:55.981112,107501,5947,2442,5947,1116,5947,101,5947,1,5947,4,9718,2,1.0279000000009546
3,0,,2026-07-28T21:11:57.008910,107232,5922,2394,5922,1103,5922,94,5922,10,5922,3,9935,4,1.0275970999937272
3,0,,2026-07-28T21:11:58.036619,107254,5858,2417,5858,1042,5858,93,5858,0,5858,4,9701,3,1.0273870999953942
3,0,,2026-07-28T21:11:59.064935,107002,5913,2506,5913,1094,5913,80,5913,3,5913,4,9637,5,1.0280207000032533
3,0,,2026-07-28T21:12:00.091922,107645,6017,2476,6017,1052,6017,93,6017,3,6017,0,9566,8,1.0266808000014862
3,0,,2026-07-28T21:12:01.118794,107000,5922,2364,5922,1135,5922,103,5922,6,5922,5,9563,9,1.0265932999900542
3,0,,2026-07-28T21:12:02.146071,107117,5879,2406,5879,1068,5879,80,5879,1,5879,2,9574,5,1.0269892999931471
3,0,,2026-07-28T21:12:03.174950,107058,5978,2481,5978,1126,5978,75,5978,4,5978,2,9451,4,1.0285418999992544
3,0,,2026-07-28T21:12:04.204582,107108,6011,2456,6011,1171,6011,92,6011,5,6011,2,9650,3,1.0291303999983938
3,0,,2026-07-28T21:12:05.233623,107351,5996,2479,5996,1097,5996,101,5996,3,5996,1,9450,3,1.028698499998427
3,0,,2026-07-28T21:12:06.263051,107410,5919,2417,5919,1066,5919,82,5919,2,5919,2,9473,5,1.0290339999919524
3,0,,2026-07-28T21:12:07.292469,107649,5983,2452,5983,1090,5983,101,5983,3,5983,4,9694,4,1.0290294000005815
3,0,,2026-07-28T21:12:08.320927,107293,6046,2487,6046,1123,6046,107,6046,6,6046,0,9566,7,1.0280902999948012
3,0,,2026-07-28T21:12:09.349686,107366,5880,2390,5880,1088,5880,86,5880,2,5880,4,9635,9,1.0283441000065068
3,0,,2026-07-28T21:12:10.377263,106756,5962,2441,5962,1120,5962,103,5962,2,5962,5,9582,3,1.0272525000036694
3,0,,2026-07-28T21:12:11.405810,106879,5941,2372,5941,1111,5941,85,5941,5,5941,4,9440,3,1.0282835999969393
3,0,,2026-07-28T21:12:12.434246,107939,5991,2482,5991,1110,5991,81,5991,4,5991,3,9646,4,1.028025700012222
3,0,,2026-07-28T21:12:13.463302,107361,5976,2502,5976,1101,5976,88,5976,3,5976,5,9555,5,1.0286792999977479
3,0,,2026-07-28T21:12:14.492021,106725,5961,2378,5961,1129,5961,75,5961,6,5961,2,9665,5,1.0283483000093838
3,0,,2026-07-28T21:12:15.519074,107450,5956,2448,5956,1118,5956,85,5956,6,5956,3,9621,4,1.026711799990153
3,0,,2026-07-28T21:12:16.546928,106807,6089,2547,6089,1096,6089,82,6089,2,6089,4,9549,6,1.0275624999922002
3,0,,2026-07-28T21:12:17.575300,107507,6089,2475,6089,1093,6089,95,6089,1,6089,5,9555,3,1.0280768000084208
3,0,,2026-07-28T21:12:18.604539,107014,5944,2475,5944,1052,5944,83,5944,2,5944,2,9656,4,1.0287792999879457
3,0,,2026-07-28T21:12:19.632540,107628,6100,2479,6100,1121,6100,105,6100,2,6100,3,9631,2,1.0275860999972792
3,0,,2026-07-28T21:12:20.659794,107211,5861,2366,5861,1118,5861,103,5861,0,5861,5,9763,6,1.026968999998644
3,0,,2026-07-28T21:12:21.687360,107511,5888,2389,5888,1085,5888,105,5888,5,5888,3,9656,3,1.0273438000003807
3,0,,2026-07-28T21:12:22.714165,106841,5935,2470,5935,1065,5935,85,5935,1,5935,4,9599,6,1.0265817000035895
3,0,,2026-07-28T21:12:23.740804,105974,5915,2482,5915,1057,5915,72,5915,5,5915,4,9598,5,1.0264876000001095
3,0,,2026-07-28T21:12:24.768812,107226,5950,2396,5950,1073,5950,77,5950,3,5950,2,9683,2,1.0276799999992363
3,0,,2026-07-28T21:12:25.797063,107445,6063,2492,6063,1126,6063,82,6063,2,6063,2,9674,2,1.0279251000029035
3,0,,2026-07-28T21:12:26.826320,107045,5981,2423,5981,1122,5981,79,5981,2,5981,5,9610,3,1.0288766000012401
3,0,,2026-07-28T21:12:27.855593,107165,6016,2467,6016,1092,6016,91,6016,2,6016,4,9743,4,1.0288811000064015
3,0,,2026-07-28T21:12:28.884585,107327,5968,2399,5968,1103,5968,98,5968,3,5968,3,9490,7,1.028605500003323
3,0,,2026-07-28T21:12:29.913155,107679,5946,2507,5946,1071,5946,101,5946,3,5946,1,9647,6,1.0282189999998081
3,0,,2026-07-28T21:12:30.940829,107367,5962,2498,5962,1075,5962,81,5962,2,5962,5,9616,9,1.0272777999925893
3,0,,2026-07-28T21:12:31.967847,107210,6066,2473,6066,1057,6066,107,6066,3,6066,2,9645,3,1.0267451999970945
3,0,,2026-07-28T21:12:32.997285,107143,5877,2413,5877,1113,5877,86,5877,4,5877,2,9784,3,1.0291900000011083
3,0,,2026-07-28T21:12:34.025553,107160,6007,2421,6007,1104,6007,89,6007,3,6007,3,9690,2,1.0278836000070442
