N,input_state,basis,time,herald,singles_ch2,coinc_ch2,singles_ch4,coinc_ch4,singles_ch6,coinc_ch6,singles_ch7,coinc_ch7,int_time
3,0,,2026-07-29T17:52:37.104170,99529,7394,1885,7394,1124,7394,169,16,0,1.029001499991864
3,0,,2026-07-29T17:52:38.131236,99283,7720,2046,7720,1178,7720,161,12,0,1.0267356999975163
3,0,,2026-07-29T17:52:39.160887,99381,7706,1979,7706,1133,7706,164,14,0,1.0293794999888632
3,0,,2026-07-29T17:52:40.190943,99795,7663,1984,7663,1111,7663,152,11,0,1.0297471999947447
3,0,,2026-07-29T17:52:41.219008,99213,7550,1885,7550,1195,7550,170,16,0,1.0277007000113372
3,0,,2026-07-29T17:52:42.245874,99388,7571,2014,7571,1119,7571,155,13,0,1.0265104999998584
3,0,,2026-07-29T17:52:43.274869,99398,7522,1960,7522,1091,7522,115,5,0,1.0286706000042614
3,0,,2026-07-29T17:52:44.301791,98614,7611,1970,7611,1185,7611,159,9,0,1.0265743000200018
3,0,,2026-07-29T17:52:45.330397,99048,7559,1995,7559,1111,7559,140,13,0,1.0283596999943256
3,0,,2026-07-29T17:52:46.359715,99851,7446,1901,7446,1089,7446,145,11,0,1.0289697999833152
3,0,,2026-07-29T17:52:47.387229,99489,7718,2044,7718,1174,7718,160,16,0,1.0271415000024717
3,0,,2026-07-29T17:52:48.414187,99631,7601,1940,7601,1135,7601,152,8,0,1.0266789000015706
3,0,,2026-07-29T17:52:49.442252,98908,7476,1944,7476,1146,7476,143,12,0,1.0278179999731947
3,0,,2026-07-29T17:52:50.470534,98343,7388,1926,7388,1093,7388,142,18,0,1.02782250000746
3,0,,2026-07-29T17:52:51.498106,99759,7487,1942,7487,1051,7487,140,10,0,1.0271108000015374
3,0,,2026-07-29T17:52:52.526568,99310,7673,2009,7673,1170,7673,179,10,0,1.028285499982303
3,0,,2026-07-29T17:52:53.559519,99632,7725,1960,7725,1234,7725,150,6,0,1.029068100004224
3,0,,2026-07-29T17:52:54.588080,98930,7358,1890,7358,1093,7358,148,8,0,1.028140100010205
3,0,,2026-07-29T17:52:55.625918,99255,7506,1968,7506,1130,7506,172,15,0,1.0375773999840021
3,0,,2026-07-29T17:52:56.676291,102248,7877,1995,7877,1219,7877,148,8,0,1.0266775000200141
3,0,,2026-07-29T17:52:57.704599,99410,7582,1961,7582,1157,7582,141,18,0,1.0281151999952272
3,0,,2026-07-29T17:52:58.733834,99138,7572,2007,7572,1127,7572,152,10,0,1.0288923000043724
3,0,,2026-07-29T17:52:59.763424,99203,7606,1972,7606,1138,7606,152,17,0,1.0292592000041623
3,0,,2026-07-29T17:53:00.791185,99274,7543,1953,7543,1109,7543,158,12,0,1.027220199990552
3,0,,2026-07-29T17:53:01.819575,98849,7397,1993,7397,1048,7397,152,14,0,1.0280662000004668
3,0,,2026-07-29T17:53:02.853086,99802,7689,2000,7689,1153,7689,166,10,0,1.0308892999892123
3,0,,2026-07-29T17:53:03.880571,99500,7642,1949,7642,1136,7642,147,18,0,1.0271439999924041
3,0,,2026-07-29T17:53:04.909121,99470,7665,1927,7665,1208,7665,157,14,0,1.0282041999744251
3,0,,2026-07-29T17:53:05.938977,99318,7676,1998,7676,1154,7676,156,13,0,1.0291035000118427
3,0,,2026-07-29T17:53:06.965734,99612,7650,1991,7650,1090,7650,143,8,0,1.0264139999926556
3,0,,2026-07-29T17:53:07.993467,99032,7564,1962,7564,1122,7564,144,13,0,1.0274300000164658
3,0,,2026-07-29T17:53:09.022533,99425,7455,1881,7455,1130,7455,163,12,0,1.02878839999903
3,0,,2026-07-29T17:53:10.050231,99607,7545,1981,7545,1105,7545,153,16,0,1.027352900011465
3,0,,2026-07-29T17:53:11.077244,99708,7668,1961,7669,1131,7669,167,9,0,1.0266733999887947
