N,input_state,basis,time,herald,singles_ch2,coinc_ch2,singles_ch4,coinc_ch4,singles_ch6,coinc_ch6,singles_ch8,coinc_ch8,singles_ch7,coinc_ch7,int_time
4,0,,2026-07-29T20:56:29.906139,107635,4562,1374,4562,890,4562,272,4562,40,9101,2,1.0276045999780763
4,0,,2026-07-29T20:56:30.934969,108591,4611,1422,4611,943,4611,274,4611,39,9122,3,1.0284450999752153
4,0,,2026-07-29T20:56:31.963249,107408,4616,1429,4616,872,4616,254,4616,36,9128,1,1.0278239999897778
4,0,,2026-07-29T20:56:32.992014,107809,4532,1375,4532,896,4532,296,4532,38,9163,2,1.0283271000080276
4,0,,2026-07-29T20:56:34.028967,107992,4495,1345,4495,927,4495,260,4495,32,9209,4,1.0366616999963298
4,0,,2026-07-29T20:56:35.074815,110359,4681,1413,4681,908,4681,286,4681,44,9357,3,1.030462999973679
4,0,,2026-07-29T20:56:36.104462,108469,4654,1394,4654,917,4654,295,4654,46,8967,3,1.0293404000112787
4,0,,2026-07-29T20:56:37.130277,108053,4592,1403,4592,913,4592,271,4592,46,9172,4,1.0253075999789871
4,0,,2026-07-29T20:56:38.157860,107087,4585,1388,4585,909,4585,283,4585,43,9166,2,1.0274436000036076
4,0,,2026-07-29T20:56:39.184394,108301,4543,1367,4543,901,4543,286,4543,38,9017,4,1.0261674999783281
4,0,,2026-07-29T20:56:40.210741,107542,4570,1389,4570,926,4570,291,4570,35,9031,0,1.0261629000015091
4,0,,2026-07-29T20:56:41.238043,108368,4617,1392,4617,886,4617,296,4617,38,9014,1,1.0271010000142269
4,0,,2026-07-29T20:56:42.266231,108311,4662,1396,4662,910,4662,287,4662,34,9105,0,1.0279916000145022
4,0,,2026-07-29T20:56:43.295244,108183,4728,1404,4728,959,4728,297,4728,31,9191,0,1.0286125999991782
4,0,,2026-07-29T20:56:44.323099,107999,4571,1357,4571,909,4571,276,4571,40,9041,1,1.0274379999900702
4,0,,2026-07-29T20:56:45.352289,108030,4616,1369,4616,926,4616,288,4616,30,9061,1,1.0287897000089288
