N,input_state,basis,time,herald,singles_ch2,coinc_ch2,singles_ch4,coinc_ch4,singles_ch6,coinc_ch6,singles_ch8,coinc_ch8,singles_ch10,coinc_ch10,singles_ch7,coinc_ch7,int_time
5,0,,2026-07-30T12:22:16.993219,106752,3803,1047,3803,537,3803,197,3803,41,3803,4,9499,4,1.0276182999950834
5,0,,2026-07-30T12:22:18.021646,107218,3853,1040,3853,521,3853,223,3853,38,3853,2,9478,6,1.028118899994297
5,0,,2026-07-30T12:22:19.048357,106669,3805,1017,3805,572,3805,195,3805,29,3805,0,9601,7,1.0263970000087284
5,0,,2026-07-30T12:22:20.075588,107128,3821,1032,3821,498,3821,227,3821,37,3821,6,9470,6,1.027061299973866
5,0,,2026-07-30T12:22:21.103101,106920,3768,986,3768,533,3768,200,3768,41,3768,2,9489,7,1.0272975000261795
5,0,,2026-07-30T12:22:22.130390,106732,3876,1023,3876,572,3876,197,3876,38,3876,0,9281,1,1.0269681999925524
5,0,,2026-07-30T12:22:23.159515,106980,3900,1058,3900,569,3900,199,3900,47,3900,0,9506,0,1.0288448000210337
5,0,,2026-07-30T12:22:24.187630,106843,3848,1054,3848,528,3848,188,3848,36,3848,2,9382,3,1.027703500003554
5,0,,2026-07-30T12:22:25.215553,106967,3938,1025,3938,566,3938,227,3938,50,3938,0,9373,6,1.0276291000191122
5,0,,2026-07-30T12:22:26.243685,106964,3906,1052,3906,546,3906,233,3906,53,3906,0,9428,2,1.0279185999825131
5,0,,2026-07-30T12:22:27.272592,107178,3897,1041,3897,574,3897,212,3897,47,3897,0,9553,4,1.0285548999963794
5,0,,2026-07-30T12:22:28.302516,106704,3797,1031,3797,503,3797,213,3797,46,3797,1,9438,2,1.0295879999757744
5,0,,2026-07-30T12:22:29.329153,107143,3898,1029,3898,615,3898,215,3898,40,3898,1,9412,2,1.0262448000139557
5,0,,2026-07-30T12:22:30.359278,106742,3959,1063,3959,564,3959,225,3959,39,3959,0,9445,2,1.0299677000148222
5,0,,2026-07-30T12:22:31.385665,106963,3800,1043,3800,520,3800,201,3800,39,3800,1,9518,4,1.0260056999977678
5,0,,2026-07-30T12:22:32.414083,106876,3808,1049,3808,575,3808,219,3808,40,3808,2,9506,7,1.0282691000029445
5,0,,2026-07-30T12:22:33.442526,107200,3853,1018,3853,555,3853,226,3853,52,3853,0,9377,2,1.0281767999986187
5,0,,2026-07-30T12:22:34.472218,106722,3916,1048,3916,544,3916,225,3916,44,3916,0,9420,6,1.029239299998153
5,0,,2026-07-30T12:22:35.502163,107064,4002,1080,4002,554,4002,214,4002,40,4002,0,9537,3,1.0295134999905713
5,0,,2026-07-30T12:22:36.531651,107261,3820,1004,3820,534,3820,211,3820,46,3820,2,9430,4,1.0289825999934692
5,0,,2026-07-30T12:22:37.561218,107271,3770,1043,3770,476,3770,221,3770,40,3770,1,9359,8,1.0291061000025366
5,0,,2026-07-30T12:22:38.592002,106773,3944,1070,3944,550,3944,242,3944,53,3944,1,9629,11,1.0304729999916162
5,0,,2026-07-30T12:22:39.620516,106790,3813,1018,3813,539,3813,221,3813,33,3813,2,9591,7,1.0278640000033192
5,0,,2026-07-30T12:22:40.648426,106712,3805,1001,3805,546,3805,194,3805,50,3805,1,9486,4,1.0275722999940626
5,0,,2026-07-30T12:22:41.677474,106890,3777,1019,3777,551,3777,203,3777,36,3777,2,9476,6,1.0287324000091758
