N,input_state,basis,time,herald,singles_ch2,coinc_ch2,singles_ch4,coinc_ch4,singles_ch6,coinc_ch6,singles_ch8,coinc_ch8,singles_ch10,coinc_ch10,singles_ch12,coinc_ch12,singles_ch7,coinc_ch7,int_time
6,0,,2026-07-30T19:48:07.161473,2040640,81755,25060,81755,14924,81755,5129,81755,1086,81755,162,81755,27,218898,139,20.029762500023935
6,0,,2026-07-30T19:48:27.190290,2038686,82116,24964,82116,14948,82116,5272,82116,1148,82116,188,82116,23,219010,140,20.028673099994194
6,0,,2026-07-30T19:48:47.219604,2041080,82153,24951,82153,14989,82153,5268,82153,1177,82153,175,82153,27,219594,124,20.028985199984163
6,0,,2026-07-30T19:49:07.248003,2038982,82223,24962,82223,15027,82223,5288,82223,1107,82223,193,82223,31,219667,135,20.028042799967807
6,0,,2026-07-30T19:49:27.276940,2038944,82367,25189,82367,14969,82367,5313,82367,1092,82367,179,82367,26,219259,130,20.02875050000148
6,0,,2026-07-30T19:49:47.305517,2040505,81712,25039,81712,14730,81712,5345,81712,1116,81712,169,81712,34,219085,120,20.02821620000759
6,0,,2026-07-30T19:50:07.336981,2037816,81984,24946,81984,14832,81984,5135,81984,1135,81984,147,81984,31,219999,156,20.031360000022687
6,0,,2026-07-30T19:50:27.366712,2041118,81903,24920,81903,14948,81903,5264,81903,1133,81903,183,81903,32,219406,128,20.029396099969745
6,0,,2026-07-30T19:50:47.395717,2038756,81810,24753,81810,14896,81810,5190,81810,1169,81810,173,81810,27,219086,109,20.02856820001034
6,0,,2026-07-30T19:51:07.425244,2037959,81880,24829,81880,14972,81880,5229,81880,1124,81880,175,81880,25,219517,151,20.029144099971745
6,0,,2026-07-30T19:51:27.453542,2041089,81863,25043,81863,14745,81863,5346,81863,1217,81863,169,81863,28,220509,115,20.028004500025418
6,0,,2026-07-30T19:51:47.483252,2041364,82226,24999,82226,14840,82226,5216,82226,1106,82226,180,82226,26,219794,136,20.029432000010274
6,0,,2026-07-30T19:52:07.512674,2043386,81433,25023,81433,14759,81433,5217,81433,1097,81433,158,81433,37,220074,139,20.029016700049397
6,0,,2026-07-30T19:52:27.542268,2038624,81883,25047,81883,14872,81883,5310,81883,1188,81883,161,81883,17,219392,117,20.029418499965686
6,0,,2026-07-30T19:52:47.572029,2041886,82538,25166,82538,14729,82538,5277,82538,1179,82538,180,82538,35,220175,121,20.02937739994377
