N,input_state,basis,time,herald,singles_ch2,coinc_ch2,singles_ch4,coinc_ch4,singles_ch6,coinc_ch6,singles_ch8,coinc_ch8,singles_ch10,coinc_ch10,singles_ch12,coinc_ch12,singles_ch7,coinc_ch7,int_time
6,0,,2026-07-30T20:32:58.722212,2046748,82242,25264,82242,14894,82242,5254,82242,1141,82242,181,82242,41,221021,152,20.031482200021856
6,0,,2026-07-30T20:33:18.749655,2048334,81959,25073,81959,14911,81959,5276,81959,1106,81959,178,81959,28,220708,140,20.027227899990976
6,0,,2026-07-30T20:33:38.778355,2048667,82319,25475,82319,14672,82319,5219,82319,1145,82319,169,82319,34,220413,124,20.0285872000386
6,0,,2026-07-30T20:33:58.808220,2048885,82353,25399,82353,14930,82353,5362,82353,1057,82353,169,82353,37,221096,156,20.029614400002174
6,0,,2026-07-30T20:34:18.838827,2048143,81841,25122,81841,14819,81841,5233,81841,1139,81841,163,81841,34,220828,125,20.030147100042086
6,0,,2026-07-30T20:34:38.868613,2052172,82231,25381,82231,14809,82231,5245,82231,1118,82231,173,82231,33,220844,149,20.029423100000713
6,0,,2026-07-30T20:34:58.898502,2052728,81289,25195,81289,14892,81289,5156,81289,1085,81289,169,81289,32,221428,145,20.02963030000683
6,0,,2026-07-30T20:35:18.926102,2050308,81978,25315,81978,14877,81978,5156,81978,1206,81978,143,81978,28,221169,142,20.027322500012815
6,0,,2026-07-30T20:35:38.954393,2052280,82538,25120,82538,14745,82538,5185,82538,1084,82538,150,82538,30,221222,159,20.028137700050138
6,0,,2026-07-30T20:35:58.982397,2052216,82276,25182,82276,14878,82276,5176,82276,1121,82276,189,82276,35,222118,137,20.027898699976504
6,0,,2026-07-30T20:36:19.012670,2048738,82232,25378,82232,14968,82232,5094,82232,1082,82232,150,82232,32,221292,129,20.029959000006784
6,0,,2026-07-30T20:36:39.042443,2050281,82214,25311,82214,14826,82214,5072,82214,1107,82214,169,82214,29,219964,155,20.029481199977454
6,0,,2026-07-30T20:36:59.071157,2047974,80910,24815,80910,14895,80910,4991,80910,1107,80910,177,80910,25,221303,140,20.028410199971404
6,0,,2026-07-30T20:37:19.101853,2051782,81662,25038,81662,14899,81662,5200,81662,1106,81662,153,81662,36,220986,132,20.030453699990176
6,0,,2026-07-30T20:37:39.129851,2050848,81394,25157,81394,14594,81394,5236,81394,1018,81394,166,81394,34,220451,141,20.027593199978583
6,0,,2026-07-30T20:37:59.157369,2050436,81810,25163,81810,14867,81810,5227,81810,1089,81810,171,81810,36,220450,153,20.02729240001645
6,0,,2026-07-30T20:38:19.186501,2049849,81894,25189,81894,14612,81894,5204,81894,1130,81894,179,81894,30,220265,131,20.028958099952433
6,0,,2026-07-30T20:38:39.212937,2048477,82069,25434,82069,14857,82069,5026,82069,1084,82069,171,82069,31,220482,140,20.026183100009803
6,0,,2026-07-30T20:38:59.241699,2047671,81726,24974,81726,14840,81726,5229,81726,1086,81726,169,81726,28,219909,134,20.02854660002049
6,0,,2026-07-30T20:39:19.269977,2047299,81713,25113,81713,14820,81713,5240,81713,1076,81713,159,81713,36,219965,146,20.028090799984057
6,0,,2026-07-30T20:39:39.299021,2049566,81672,25116,81672,14572,81672,5250,81672,1105,81672,196,81672,35,219606,115,20.02878029999556
6,0,,2026-07-30T20:39:59.328128,2047759,81357,24906,81357,14905,81357,5124,81357,1068,81357,163,81357,30,219322,114,20.028851100010797
6,0,,2026-07-30T20:40:19.357433,2046500,81443,25030,81443,14721,81443,5034,81443,1099,81443,166,81443,27,219694,133,20.029084900044836
6,0,,2026-07-30T20:40:39.387297,2046015,81908,25362,81908,14667,81908,5358,81908,1098,81908,182,81908,29,219673,131,20.029583499999717
6,0,,2026-07-30T20:40:59.416418,2048776,81215,24788,81215,14549,81215,5230,81215,1104,81215,202,81215,43,219909,123,20.02884789998643
6,0,,2026-07-30T20:41:19.445972,2046078,81651,24947,81651,14810,81651,5205,81651,1129,81651,152,81651,27,219493,142,20.029329199984204
6,0,,2026-07-30T20:41:39.475122,2045182,81501,24926,81501,14574,81501,5222,81501,1148,81501,184,81501,24,219413,134,20.028852900024503
6,0,,2026-07-30T20:41:59.503753,2042918,81455,25048,81455,14629,81455,5123,81455,1145,81455,167,81455,35,220631,155,20.02836280001793
6,0,,2026-07-30T20:42:19.533055,2041012,81390,25044,81390,14741,81390,5073,81390,1093,81390,167,81390,26,219488,120,20.02905799995642
6,0,,2026-07-30T20:42:39.562846,2041310,81022,24698,81022,14740,81022,5120,81022,1140,81022,162,81022,34,219450,130,20.02945929998532
6,0,,2026-07-30T20:42:59.591865,2041202,81474,24862,81474,14731,81474,5066,81474,1059,81474,186,81474,31,219706,141,20.02875589998439
6,0,,2026-07-30T20:43:19.620725,2039523,81107,24722,81107,14684,81107,5191,81107,1137,81107,160,81107,25,219932,118,20.028552300005686
6,0,,2026-07-30T20:43:39.649622,2037662,81175,24917,81175,14665,81175,5067,81175,1139,81175,171,81175,49,219648,136,20.0285709000309
6,0,,2026-07-30T20:43:59.676470,2039172,81285,25082,81285,14647,81285,5136,81285,1130,81285,175,81285,20,219438,105,20.02662949997466
6,0,,2026-07-30T20:44:19.705873,2036143,80947,25016,80947,14576,80947,5047,80947,1147,80947,149,80947,26,219542,130,20.029218399955425
6,0,,2026-07-30T20:44:39.734023,2034358,81217,25036,81217,14757,81217,5064,81217,1141,81217,172,81217,32,219046,138,20.027892199985217
6,0,,2026-07-30T20:44:59.762931,2033529,81340,24835,81340,14761,81340,5278,81340,1078,81340,177,81340,29,218186,137,20.02862300002016
6,0,,2026-07-30T20:45:19.791915,2033087,81450,24979,81450,14690,81450,5176,81450,1057,81450,182,81450,39,219213,126,20.02865519997431
6,0,,2026-07-30T20:45:39.818723,2029932,81271,24917,81271,14538,81271,5170,81271,1127,81271,157,81271,34,218754,132,20.026497300015762
6,0,,2026-07-30T20:45:59.847565,2030675,81053,24735,81053,14575,81053,5106,81053,1089,81053,170,81053,23,218239,129,20.028634499991313
