N,input_state,basis,time,herald,singles_ch2,coinc_ch2,singles_ch4,coinc_ch4,singles_ch6,coinc_ch6,singles_ch8,coinc_ch8,singles_ch10,coinc_ch10,int_time
3,0,,2026-07-21T19:53:59.638018,102962,14770,4594,0,0,0,0,0,0,0,0,1.025979500000176
3,0,,2026-07-21T19:54:00.666314,98137,13413,4054,0,0,0,0,0,0,0,0,1.026421599999594
3,0,,2026-07-21T19:54:01.692762,98009,13482,4127,0,0,0,0,0,0,0,0,1.0259201000008034
3,0,,2026-07-21T19:54:02.719469,97460,13471,3943,0,0,0,0,0,0,0,0,1.0262232000004587
3,0,,2026-07-21T19:54:03.745417,98194,13305,3947,0,0,0,0,0,0,0,0,1.025459899999987
3,0,,2026-07-21T19:54:04.771221,97907,13524,4112,0,0,0,0,0,0,0,0,1.0253321000000142
3,0,,2026-07-21T19:54:05.796705,97687,13441,4019,0,0,0,0,0,0,0,0,1.0250335999990057
3,0,,2026-07-21T19:54:06.823675,98112,13342,3898,0,0,0,0,0,0,0,0,1.0262868999998318
3,0,,2026-07-21T19:54:07.850766,98038,13389,3936,0,0,0,0,0,0,0,0,1.0263379999996687
3,0,,2026-07-21T19:54:08.876584,97798,13590,4023,0,0,0,0,0,0,0,0,1.0253285000017058
3,0,,2026-07-21T19:54:09.903508,98024,13602,4148,0,0,0,0,0,0,0,0,1.0263928000003943
3,0,,2026-07-21T19:54:10.930674,98022,13383,4061,0,0,0,0,0,0,0,0,1.0266074999999546
3,0,,2026-07-21T19:54:11.956885,97618,13531,4035,0,0,0,0,0,0,0,0,1.0257016000014119
3,0,,2026-07-21T19:54:12.983660,97958,13330,3971,0,0,0,0,0,0,0,0,1.0262015000007523
3,0,,2026-07-21T19:54:14.010405,98827,13533,4039,0,0,0,0,0,0,0,0,1.0260748000000603
3,0,,2026-07-21T19:54:15.036641,97504,13202,4007,0,0,0,0,0,0,0,0,1.0257019999990007
3,0,,2026-07-21T19:54:16.064090,97636,13614,3990,0,0,0,0,0,0,0,0,1.0269032999985939
3,0,,2026-07-21T19:54:17.090694,98145,13429,3899,0,0,0,0,0,0,0,0,1.0260016000011092
3,0,,2026-07-21T19:54:18.117093,98169,13507,4047,0,0,0,0,0,0,0,0,1.0257746999996016
3,0,,2026-07-21T19:54:19.144298,97646,13503,3970,0,0,0,0,0,0,0,0,1.026556699998764
3,0,,2026-07-21T19:54:20.170922,98311,13611,4115,0,0,0,0,0,0,0,0,1.0259019000004628
3,0,,2026-07-21T19:54:21.197911,97996,13288,4086,0,0,0,0,0,0,0,0,1.0264642999991338
3,0,,2026-07-21T19:54:22.224751,97617,13516,4073,0,0,0,0,0,0,0,0,1.0263271000003442
3,0,,2026-07-21T19:54:23.251502,97648,13268,3833,0,0,0,0,0,0,0,0,1.0260754999999335
3,0,,2026-07-21T19:54:24.278167,98614,13592,4026,0,0,0,0,0,0,0,0,1.0261245000001509
3,0,,2026-07-21T19:54:25.303910,98066,13395,3933,0,0,0,0,0,0,0,0,1.0252900000014051
