N,input_state,basis,time,herald,singles_ch2,coinc_ch2,singles_ch4,coinc_ch4,singles_ch6,coinc_ch6,singles_ch8,coinc_ch8,singles_ch7,coinc_ch7,int_time
3,0,,2026-07-18T20:16:12.271155,3167291,447338,136231,447338,83165,447338,10513,447338,436,520746,194,1.0008426890625002
3,0,,2026-07-18T20:16:44.272485,3165927,445882,135833,445881,82551,445881,10583,445881,426,519667,226,1.0000906412499995
3,0,,2026-07-18T20:17:16.295445,3167254,446222,136203,446222,82567,446222,10436,446222,373,521263,182,1.00079067546875
3,0,,2026-07-18T20:17:48.297718,3165386,445094,135586,445094,83198,445094,10322,445094,405,520531,213,1.0001051734375
3,0,,2026-07-18T20:18:20.305345,3171847,446666,136509,446666,82937,446666,10666,446666,423,520947,200,1.0002916020312496
3,0,,2026-07-18T20:18:52.314867,3174059,447636,136075,447637,83214,447637,10552,447637,416,521393,184,1.00035052765625
3,0,,2026-07-18T20:19:24.315987,3167251,447591,136742,447590,82834,447590,10600,447590,405,520651,162,1.00009543171875
3,0,,2026-07-18T20:19:56.329828,3174171,447610,136394,447609,83518,447609,10601,447609,414,522749,214,1.000470144375
3,0,,2026-07-18T20:20:28.343066,3170654,447130,137145,447130,83137,447130,10463,447130,420,522056,177,1.0004428515625
3,0,,2026-07-18T20:21:00.354357,3170062,447242,136483,447242,82797,447242,10392,447242,452,521549,201,1.0003783446875003
3,0,,2026-07-18T20:21:32.366941,3167031,447225,136391,447225,83619,447225,10466,447225,400,521315,194,1.0004619693749999
3,0,,2026-07-18T20:22:04.387986,3170114,447194,136414,447194,83675,447194,10127,447194,419,522526,184,1.00068533328125
3,0,,2026-07-18T20:22:36.399269,3168497,446497,136300,446497,83166,446497,10341,446497,394,522944,206,1.0003622057812498
3,0,,2026-07-18T20:23:08.407616,3172436,448893,137703,448893,82870,448893,10235,448893,403,521616,200,1.0002974754687501
3,0,,2026-07-18T20:23:40.421489,3170443,447553,136703,447553,83295,447553,10212,447553,423,521210,190,1.0004552229687502
3,0,,2026-07-18T20:24:12.444830,3165926,447801,136998,447801,83209,447801,10314,447801,428,521595,195,1.0007814118749998
3,0,,2026-07-18T20:24:44.458153,3161544,445333,136554,445333,82241,445333,10335,445333,414,521025,216,1.0004836615625001
3,0,,2026-07-18T20:25:16.474351,3163078,446021,135837,446021,82961,446021,10167,446021,385,520933,222,1.0005054384374996
3,0,,2026-07-18T20:25:48.486446,3161197,446145,136261,446145,83106,446145,10089,446145,412,521917,195,1.00040150625
3,0,,2026-07-18T20:26:20.501316,3159578,447061,136315,447061,83142,447061,10360,447061,399,521358,201,1.0004486703124993
3,0,,2026-07-18T20:26:52.516093,3165819,446595,136083,446595,83417,446595,10240,446595,401,520697,192,1.0004688229687495
3,0,,2026-07-18T20:27:24.525888,3159046,446895,136278,446895,83125,446895,10207,446895,435,521003,194,1.0003570140625002
3,0,,2026-07-18T20:27:56.533076,3155318,445086,135772,445086,82570,445086,10252,445086,445,521241,192,1.00026303078125
3,0,,2026-07-18T20:28:28.547635,3158039,446089,136015,446089,82992,446089,10158,446089,393,520704,186,1.0004912853124999
3,0,,2026-07-18T20:29:00.555713,3157053,445439,135682,445439,82798,445439,9992,445439,450,521898,178,1.0002478015625007
3,0,,2026-07-18T20:29:32.575794,3158449,445633,135541,445633,82638,445633,10233,445633,398,522201,189,1.0006279256250006
3,0,,2026-07-18T20:30:04.579468,3158654,444550,135811,444549,82873,444549,9892,444549,408,522004,202,1.000159228125
3,0,,2026-07-18T20:30:36.587550,3154228,445557,135738,445557,82947,445557,10045,445557,444,523686,195,1.000268715
3,0,,2026-07-18T20:31:08.604961,3158622,445449,136201,445449,82465,445449,9975,445449,414,523201,191,1.0005541339062498
3,0,,2026-07-18T20:31:40.626981,3157437,446357,136042,446357,83165,446357,10168,446357,410,523979,202,1.0007495379687499
3,0,,2026-07-18T20:32:12.634468,3158495,445779,135537,445779,83193,445779,10056,445779,435,523482,204,1.0002415328124996
3,0,,2026-07-18T20:32:44.644709,3153821,445701,135490,445701,82905,445701,9793,445701,441,521828,199,1.0002843281250002
3,0,,2026-07-18T20:33:16.658386,3158122,445091,135662,445091,82758,445091,9882,445091,479,522942,197,1.0004684984374999
3,0,,2026-07-18T20:33:48.676420,3158660,445672,135997,445672,82964,445672,9920,445672,417,523197,182,1.0006036495312502
3,0,,2026-07-18T20:34:20.694794,3154318,445003,135198,445003,83106,445003,9941,445003,423,522564,204,1.0006246051562502
3,0,,2026-07-18T20:34:52.710054,3159149,445483,136410,445483,82684,445483,9785,445483,413,523531,178,1.0005064589062493
3,0,,2026-07-18T20:35:24.732011,3158417,445625,135713,445625,82481,445625,9718,445625,440,523590,188,1.0008047995312501
3,0,,2026-07-18T20:35:56.747767,3157349,444831,134737,444831,83135,444831,9871,444831,415,523694,197,1.0005158375000003
3,0,,2026-07-18T20:36:28.765024,3159085,444319,135715,444319,82440,444319,9677,444319,409,523325,204,1.00058058796875
3,0,,2026-07-18T20:37:00.778002,3158462,444496,135648,444496,82360,444496,9634,444496,420,523457,205,1.0004499964062503
3,0,,2026-07-18T20:37:32.791790,3154513,444250,134936,444250,82636,444250,9612,444250,451,523514,175,1.0004924926562506
3,0,,2026-07-18T20:38:04.811503,3153246,443247,135559,443247,82082,443247,9701,443247,442,524134,198,1.00063827234375
3,0,,2026-07-18T20:38:36.828869,3155795,443426,135671,443425,82144,443425,9593,443425,428,522939,200,1.0005580053125003
3,0,,2026-07-18T20:39:08.841392,3148004,442619,134599,442619,82053,442619,9811,442619,410,523327,166,1.0004602587499996
3,0,,2026-07-18T20:39:40.855785,3147358,442932,134737,442932,82070,442932,9721,442932,408,522806,189,1.000465019375
3,0,,2026-07-18T20:40:12.869522,3150489,442684,134540,442683,82276,442683,9587,442683,446,522159,202,1.0004688015625003
3,0,,2026-07-18T20:40:44.887518,3147055,442077,134852,442077,82308,442077,9586,442077,411,522174,196,1.0006273390625002
3,0,,2026-07-18T20:41:16.904317,3146034,443469,134802,443469,82182,443469,9599,443469,458,522860,201,1.00053022078125
3,0,,2026-07-18T20:41:48.914865,3148911,442324,135354,442324,82344,442324,9513,442324,408,523670,199,1.00034616359375
3,0,,2026-07-18T20:42:20.937454,3146600,442217,135285,442217,81605,442217,9491,442217,445,523797,187,1.0007393868750005
3,0,,2026-07-18T20:42:52.963722,3146787,442107,134659,442105,82168,442105,9548,442105,435,524347,212,1.0008332209375004
3,0,,2026-07-18T20:43:24.982851,3146001,442412,134628,442411,82334,442411,9568,442411,445,522819,183,1.0005739546874997
