N,input_state,basis,time,herald,singles_ch2,coinc_ch2,singles_ch4,coinc_ch4,singles_ch6,coinc_ch6,singles_ch8,coinc_ch8,singles_ch10,coinc_ch10,singles_ch7,coinc_ch7,int_time
3,0,,2026-07-21T20:01:47.891906,102873,14785,266,0,0,0,0,0,0,0,0,17603,10,1.0263113000000885
3,0,,2026-07-21T20:01:48.918346,97252,13393,212,0,0,0,0,0,0,0,0,17539,7,1.0257234999990033
3,0,,2026-07-21T20:01:49.945870,97181,13391,222,0,0,0,0,0,0,0,0,17501,5,1.0267270999993343
3,0,,2026-07-21T20:01:50.972956,97232,13415,185,0,0,0,0,0,0,0,0,17479,6,1.0265253000015946
3,0,,2026-07-21T20:01:51.998918,97124,13180,230,0,0,0,0,0,0,0,0,17534,4,1.025388899999598
3,0,,2026-07-21T20:01:53.026320,97328,13506,215,0,0,0,0,0,0,0,0,17623,8,1.0265459999991435
3,0,,2026-07-21T20:01:54.053006,97427,13304,228,0,0,0,0,0,0,0,0,17390,8,1.0261179999997694
3,0,,2026-07-21T20:01:55.080251,97698,13349,216,0,0,0,0,0,0,0,0,17248,5,1.026507099999435
3,0,,2026-07-21T20:01:56.108190,97445,13623,205,0,0,0,0,0,0,0,0,17518,16,1.0271319000003132
3,0,,2026-07-21T20:01:57.135392,97913,13744,214,0,0,0,0,0,0,0,0,17610,4,1.0265280000003258
3,0,,2026-07-21T20:01:58.163076,97821,13501,203,0,0,0,0,0,0,0,0,17560,2,1.0268527999996877
3,0,,2026-07-21T20:01:59.190099,98232,13467,204,0,0,0,0,0,0,0,0,17433,5,1.0263785000006465
3,1,,2026-07-21T20:02:17.583656,102104,20896,452,0,0,0,0,0,0,0,0,17484,5,1.0265598999994836
3,1,,2026-07-21T20:02:18.610496,97734,18925,443,0,0,0,0,0,0,0,0,17414,5,1.0261295000000246
3,1,,2026-07-21T20:02:19.637482,97497,18801,431,0,0,0,0,0,0,0,0,17713,6,1.0263733000010689
3,1,,2026-07-21T20:02:20.665270,97751,18991,450,0,0,0,0,0,0,0,0,17444,4,1.0269986999992398
3,1,,2026-07-21T20:02:21.692218,97552,18916,446,0,0,0,0,0,0,0,0,17348,4,1.0260865000000194
3,1,,2026-07-21T20:02:22.719904,97262,18861,385,0,0,0,0,0,0,0,0,17595,4,1.0269838999993226
3,1,,2026-07-21T20:02:23.747404,98416,19176,467,0,0,0,0,0,0,0,0,17204,2,1.0267991999990045
3,1,,2026-07-21T20:02:24.775603,97724,18808,399,0,0,0,0,0,0,0,0,17407,9,1.0273028999999951
3,1,,2026-07-21T20:02:25.802612,97679,18865,478,0,0,0,0,0,0,0,0,17192,7,1.0263659000011103
3,1,,2026-07-21T20:02:26.829173,97906,19034,474,0,0,0,0,0,0,0,0,17475,9,1.0259021999991091
3,1,,2026-07-21T20:02:27.856107,97207,18733,426,0,0,0,0,0,0,0,0,17737,9,1.026197700000921
3,1,,2026-07-21T20:02:28.884034,97581,19015,430,0,0,0,0,0,0,0,0,17713,3,1.0272567000010895
3,2,,2026-07-21T20:02:32.545129,102050,23290,635,0,0,0,0,0,0,0,0,17541,3,1.027507400000104
3,2,,2026-07-21T20:02:33.572272,98191,21238,522,0,0,0,0,0,0,0,0,17581,8,1.0264852000000246
3,2,,2026-07-21T20:02:34.599942,97293,21201,527,0,0,0,0,0,0,0,0,17543,8,1.0268137999992177
3,2,,2026-07-21T20:02:35.627292,97739,21389,598,0,0,0,0,0,0,0,0,17528,6,1.0267442999993364
3,2,,2026-07-21T20:02:36.654556,97913,21272,542,0,0,0,0,0,0,0,0,17741,4,1.0265675999999075
3,2,,2026-07-21T20:02:37.681718,97941,21460,590,0,0,0,0,0,0,0,0,17338,7,1.026428199998918
3,2,,2026-07-21T20:02:38.708230,97954,21350,544,0,0,0,0,0,0,0,0,17362,3,1.026022500000181
3,2,,2026-07-21T20:02:39.734178,97282,21167,538,0,0,0,0,0,0,0,0,17632,9,1.0253212000006897
3,2,,2026-07-21T20:02:40.761477,97359,21213,568,0,0,0,0,0,0,0,0,17567,6,1.026694000000134
3,2,,2026-07-21T20:02:41.788531,97543,21506,538,0,0,0,0,0,0,0,0,17589,3,1.0264208999997209
3,2,,2026-07-21T20:02:42.815449,97629,21377,561,0,0,0,0,0,0,0,0,17724,11,1.0262273999996978
3,2,,2026-07-21T20:02:43.842984,97510,21357,559,0,0,0,0,0,0,0,0,17799,4,1.0267866999984108
3,3,,2026-07-21T20:02:58.282102,103317,22380,573,0,0,0,0,0,0,0,0,17871,7,1.027263199999652
3,3,,2026-07-21T20:02:59.308812,97855,20355,567,0,0,0,0,0,0,0,0,17958,6,1.0261112000007415
3,3,,2026-07-21T20:03:00.335430,97905,20513,567,0,0,0,0,0,0,0,0,17877,7,1.026010600000518
3,3,,2026-07-21T20:03:01.362201,98665,20617,587,0,0,0,0,0,0,0,0,17977,6,1.0262177999993582
3,3,,2026-07-21T20:03:02.388123,98255,20644,564,0,0,0,0,0,0,0,0,17860,5,1.0253044000000955
3,3,,2026-07-21T20:03:03.415632,97986,20414,572,0,0,0,0,0,0,0,0,17841,3,1.0266676999999618
3,3,,2026-07-21T20:03:04.441894,98447,20517,587,0,0,0,0,0,0,0,0,17983,7,1.0256656000001385
3,3,,2026-07-21T20:03:05.469400,98055,20653,570,0,0,0,0,0,0,0,0,17696,6,1.0268008999992162
3,3,,2026-07-21T20:03:06.496929,98501,20570,576,0,0,0,0,0,0,0,0,18040,5,1.0267227000003913
3,3,,2026-07-21T20:03:07.523565,98267,20474,545,0,0,0,0,0,0,0,0,17948,4,1.0260997000004863
3,3,,2026-07-21T20:03:08.550386,97845,20306,556,0,0,0,0,0,0,0,0,17750,6,1.026248399999531
3,3,,2026-07-21T20:03:09.577486,98061,20405,544,0,0,0,0,0,0,0,0,17963,10,1.026443200000358
